Dose (Gy),Volume (cm³)
0.00,3866.25
0.03,756.27
0.06,756.27
0.09,742.59
0.11,625.85
0.14,468.85
0.17,359.13
0.20,287.00
0.23,239.34
0.26,206.13
0.28,183.40
0.31,168.60
0.34,157.20
0.37,148.02
0.40,140.29
0.43,133.57
0.45,128.34
0.48,123.16
0.51,118.58
0.54,114.74
0.57,111.15
0.60,107.54
0.62,104.62
0.65,101.71
0.68,99.28
0.71,96.61
0.74,93.97
0.77,91.52
0.80,89.31
0.82,87.32
0.85,85.24
0.88,83.04
0.91,81.11
0.94,79.33
0.97,77.65
0.99,75.84
1.02,74.04
1.05,72.04
1.08,70.45
1.11,68.84
1.14,67.30
1.16,65.57
1.19,63.84
1.22,62.27
1.25,60.94
1.28,59.72
1.31,58.20
1.33,56.56
1.36,54.79
1.39,53.00
1.42,51.61
1.45,50.27
1.48,48.92
1.50,47.32
1.53,45.52
1.56,43.95
1.59,42.49
1.62,41.18
1.65,39.97
1.68,38.52
1.70,36.78
1.73,35.20
1.76,33.72
1.79,32.16
1.82,30.53
1.85,28.84
1.87,27.20
1.90,25.81
1.93,24.63
1.96,23.58
1.99,22.44
2.02,21.20
2.04,19.98
2.07,18.73
2.10,17.72
2.13,16.83
2.16,15.90
2.19,14.85
2.21,13.71
2.24,12.49
2.27,11.44
2.30,10.40
2.33,9.49
2.36,8.52
2.39,7.40
2.41,6.45
2.44,5.44
2.47,4.63
2.50,3.87
2.53,3.08
2.56,2.49
2.58,1.92
2.61,1.54
2.64,1.20
2.67,0.87
2.70,0.58
2.73,0.33
2.75,0.18
2.78,0.08
