Dose (Gy),Volume (cm3)
0.00,33.37
0.01,27.15
0.01,27.15
0.02,27.15
0.03,27.15
0.03,27.15
0.04,27.15
0.04,27.15
0.05,27.15
0.06,27.15
0.06,27.15
0.07,27.15
0.08,27.15
0.08,27.15
0.09,27.15
0.09,27.15
0.10,27.15
0.11,27.15
0.11,27.15
0.12,27.15
0.13,27.15
0.13,27.15
0.14,27.15
0.15,27.15
0.15,27.15
0.16,27.15
0.16,27.15
0.17,27.15
0.18,27.15
0.18,27.12
0.19,27.00
0.20,26.82
0.20,26.49
0.21,26.09
0.21,25.52
0.22,24.86
0.23,24.06
0.23,23.14
0.24,22.17
0.25,21.07
0.25,20.08
0.26,19.12
0.27,18.20
0.27,17.19
0.28,16.31
0.28,15.45
0.29,14.64
0.30,13.85
0.30,13.00
0.31,12.28
0.32,11.57
0.32,10.90
0.33,10.18
0.33,9.57
0.34,8.99
0.35,8.45
0.35,7.91
0.36,7.36
0.37,6.87
0.37,6.39
0.38,6.00
0.39,5.55
0.39,5.16
0.40,4.75
0.40,4.40
0.41,4.12
0.42,3.78
0.42,3.49
0.43,3.18
0.44,2.96
0.44,2.68
0.45,2.45
0.45,2.22
0.46,2.04
0.47,1.87
0.47,1.68
0.48,1.52
0.49,1.36
0.49,1.22
0.50,1.09
0.51,0.97
0.51,0.85
0.52,0.75
0.52,0.66
0.53,0.58
0.54,0.50
0.54,0.42
0.55,0.36
0.56,0.30
0.56,0.25
0.57,0.20
0.57,0.16
0.58,0.12
0.59,0.09
0.59,0.07
0.60,0.04
0.61,0.02
0.61,0.00
0.62,0.00
