Dose (Gy),Volume (cm³)
0.00,8.52
0.00,8.52
0.01,8.52
0.01,8.52
0.01,8.52
0.02,8.52
0.02,8.52
0.02,8.52
0.02,8.52
0.03,8.52
0.03,8.52
0.03,8.52
0.04,8.52
0.04,8.52
0.04,8.52
0.05,8.52
0.05,8.52
0.05,8.52
0.05,8.52
0.06,8.52
0.06,8.52
0.06,8.52
0.07,8.52
0.07,8.52
0.07,8.52
0.08,8.52
0.08,8.52
0.08,8.52
0.08,8.52
0.09,8.52
0.09,8.52
0.09,8.52
0.10,8.52
0.10,8.52
0.10,8.52
0.11,8.52
0.11,8.52
0.11,8.52
0.11,8.52
0.12,8.52
0.12,8.52
0.12,8.52
0.13,8.52
0.13,8.52
0.13,8.52
0.14,8.52
0.14,8.52
0.14,8.52
0.14,8.52
0.15,8.52
0.15,8.52
0.15,8.52
0.16,8.52
0.16,8.52
0.16,8.52
0.17,8.52
0.17,8.52
0.17,8.52
0.17,8.52
0.18,8.52
0.18,8.52
0.18,8.52
0.19,8.52
0.19,8.52
0.19,8.51
0.20,8.42
0.20,8.30
0.20,8.06
0.20,7.84
0.21,7.52
0.21,7.23
0.21,6.85
0.22,6.53
0.22,6.14
0.22,5.80
0.23,5.46
0.23,5.14
0.23,4.74
0.23,4.41
0.24,4.00
0.24,3.68
0.24,3.30
0.25,3.01
0.25,2.65
0.25,2.37
0.26,2.11
0.26,1.86
0.26,1.58
0.26,1.36
0.27,1.11
0.27,0.92
0.27,0.71
0.28,0.56
0.28,0.41
0.28,0.28
0.29,0.19
0.29,0.11
0.29,0.05
0.29,0.01
