Dose (Gy),Volume (cm³)
0.00,3962.89
0.07,1715.74
0.13,1714.87
0.20,1619.93
0.26,1364.92
0.33,1072.33
0.39,840.81
0.46,663.94
0.52,527.86
0.59,423.50
0.66,341.64
0.72,276.68
0.79,224.83
0.85,182.29
0.92,147.59
0.98,118.92
1.05,95.41
1.11,76.20
1.18,60.61
1.25,48.09
1.31,38.02
1.38,29.82
1.44,23.34
1.51,18.23
1.57,14.22
1.64,11.09
1.70,8.85
1.77,7.08
1.84,5.83
1.90,4.75
1.97,4.03
2.03,3.42
2.10,2.86
2.16,2.32
2.23,2.02
2.29,1.73
2.36,1.45
2.43,1.15
2.49,0.98
2.56,0.88
2.62,0.75
2.69,0.62
2.75,0.47
2.82,0.47
2.88,0.47
2.95,0.47
3.02,0.47
3.08,0.47
3.15,0.47
3.21,0.47
3.28,0.47
3.34,0.47
3.41,0.46
3.47,0.44
3.54,0.42
3.61,0.41
3.67,0.39
3.74,0.36
3.80,0.34
3.87,0.32
3.93,0.30
4.00,0.28
4.06,0.27
4.13,0.25
4.20,0.24
4.26,0.24
4.33,0.23
4.39,0.23
4.46,0.23
4.52,0.23
4.59,0.23
4.66,0.23
4.72,0.23
4.79,0.22
4.85,0.22
4.92,0.21
4.98,0.20
5.05,0.19
5.11,0.18
5.18,0.17
5.25,0.16
5.31,0.15
5.38,0.13
5.44,0.12
5.51,0.11
5.57,0.10
5.64,0.09
5.70,0.08
5.77,0.07
5.84,0.06
5.90,0.05
5.97,0.04
6.03,0.04
6.10,0.03
6.16,0.02
6.23,0.02
6.29,0.02
6.36,0.01
6.43,0.01
