Dose (Bq/ml),Volume (cm³)
0.00,6303.83
1628680.67,1648.75
3257361.35,1119.99
4886042.02,727.00
6514722.70,511.04
8143403.37,372.65
9772084.05,283.00
11400764.72,221.76
13029445.40,180.26
14658126.07,151.49
16286806.74,130.94
17915487.42,115.72
19544168.09,103.68
21172848.77,93.17
22801529.44,84.07
24430210.12,75.54
26058890.79,68.19
27687571.46,61.25
29316252.14,55.11
30944932.81,49.48
32573613.49,44.49
34202294.16,39.84
35830974.84,35.88
37459655.51,32.53
39088336.19,29.65
40717016.86,27.41
42345697.53,25.40
43974378.21,23.55
45603058.88,21.78
47231739.56,20.33
48860420.23,18.97
50489100.91,17.67
52117781.58,16.46
53746462.26,15.27
55375142.93,14.28
57003823.60,13.38
58632504.28,12.55
60261184.95,11.78
61889865.63,11.06
63518546.30,10.37
65147226.98,9.70
66775907.65,9.02
68404588.32,8.48
70033269.00,8.00
71661949.67,7.54
73290630.35,7.12
74919311.02,6.73
76547991.70,6.34
78176672.37,6.00
79805353.05,5.63
81434033.72,5.30
83062714.39,4.95
84691395.07,4.66
86320075.74,4.44
87948756.42,4.23
89577437.09,4.02
91206117.77,3.83
92834798.44,3.64
94463479.12,3.44
96092159.79,3.26
97720840.46,3.09
99349521.14,2.92
100978201.81,2.74
102606882.49,2.55
104235563.16,2.37
105864243.84,2.19
107492924.51,2.08
109121605.18,1.99
110750285.86,1.89
112378966.53,1.79
114007647.21,1.69
115636327.88,1.60
117265008.56,1.51
118893689.23,1.42
120522369.91,1.33
122151050.58,1.24
123779731.25,1.15
125408411.93,1.05
127037092.60,0.97
128665773.28,0.87
130294453.95,0.78
131923134.63,0.69
133551815.30,0.65
135180495.98,0.61
136809176.65,0.58
138437857.32,0.54
140066538.00,0.50
141695218.67,0.47
143323899.35,0.43
144952580.02,0.39
146581260.70,0.36
148209941.37,0.32
149838622.04,0.28
151467302.72,0.24
153095983.39,0.21
154724664.07,0.17
156353344.74,0.12
157982025.42,0.09
159610706.09,0.04
