Dose (Bq/ml),Volume (cm³)
0.00,3866.25
283959.84,756.27
567919.69,756.27
851879.53,742.59
1135839.37,625.85
1419799.22,468.85
1703759.06,359.13
1987718.91,287.00
2271678.75,239.34
2555638.59,206.13
2839598.44,183.40
3123558.28,168.60
3407518.12,157.20
3691477.97,148.02
3975437.81,140.29
4259397.66,133.57
4543357.50,128.34
4827317.34,123.16
5111277.19,118.58
5395237.03,114.74
5679196.87,111.15
5963156.72,107.54
6247116.56,104.62
6531076.41,101.71
6815036.25,99.28
7098996.09,96.61
7382955.94,93.97
7666915.78,91.52
7950875.62,89.31
8234835.47,87.32
8518795.31,85.24
8802755.16,83.04
9086715.00,81.11
9370674.84,79.33
9654634.69,77.65
9938594.53,75.84
10222554.37,74.04
10506514.22,72.04
10790474.06,70.45
11074433.91,68.84
11358393.75,67.30
11642353.59,65.57
11926313.44,63.84
12210273.28,62.27
12494233.12,60.94
12778192.97,59.72
13062152.81,58.20
13346112.66,56.56
13630072.50,54.79
13914032.34,53.00
14197992.19,51.61
14481952.03,50.27
14765911.87,48.92
15049871.72,47.32
15333831.56,45.52
15617791.41,43.95
15901751.25,42.49
16185711.09,41.18
16469670.94,39.97
16753630.78,38.52
17037590.62,36.78
17321550.47,35.20
17605510.31,33.72
17889470.16,32.16
18173430.00,30.53
18457389.84,28.84
18741349.69,27.20
19025309.53,25.81
19309269.37,24.63
19593229.22,23.58
19877189.06,22.44
20161148.91,21.20
20445108.75,19.98
20729068.59,18.73
21013028.44,17.72
21296988.28,16.83
21580948.12,15.90
21864907.97,14.85
22148867.81,13.71
22432827.65,12.49
22716787.50,11.44
23000747.34,10.40
23284707.19,9.49
23568667.03,8.52
23852626.87,7.40
24136586.72,6.45
24420546.56,5.44
24704506.40,4.63
24988466.25,3.87
25272426.09,3.08
25556385.94,2.49
25840345.78,1.92
26124305.62,1.54
26408265.47,1.20
26692225.31,0.87
26976185.15,0.58
27260145.00,0.33
27544104.84,0.18
27828064.69,0.08
