Dose (Bq/ml),Volume (cm³)
0.00,33.37
63184.78,27.15
126369.56,27.15
189554.35,27.15
252739.13,27.15
315923.91,27.15
379108.69,27.15
442293.47,27.15
505478.26,27.15
568663.04,27.15
631847.82,27.15
695032.60,27.15
758217.38,27.15
821402.17,27.15
884586.95,27.15
947771.73,27.15
1010956.51,27.15
1074141.29,27.15
1137326.08,27.15
1200510.86,27.15
1263695.64,27.15
1326880.42,27.15
1390065.20,27.15
1453249.99,27.15
1516434.77,27.15
1579619.55,27.15
1642804.33,27.15
1705989.11,27.15
1769173.90,27.15
1832358.68,27.12
1895543.46,27.00
1958728.24,26.82
2021913.02,26.49
2085097.81,26.09
2148282.59,25.52
2211467.37,24.86
2274652.15,24.06
2337836.93,23.14
2401021.72,22.17
2464206.50,21.07
2527391.28,20.08
2590576.06,19.12
2653760.84,18.20
2716945.63,17.19
2780130.41,16.31
2843315.19,15.45
2906499.97,14.64
2969684.75,13.85
3032869.54,13.00
3096054.32,12.28
3159239.10,11.57
3222423.88,10.90
3285608.66,10.18
3348793.45,9.57
3411978.23,8.99
3475163.01,8.45
3538347.79,7.91
3601532.57,7.36
3664717.35,6.87
3727902.14,6.39
3791086.92,6.00
3854271.70,5.55
3917456.48,5.16
3980641.26,4.75
4043826.05,4.40
4107010.83,4.12
4170195.61,3.78
4233380.39,3.49
4296565.17,3.18
4359749.96,2.96
4422934.74,2.68
4486119.52,2.45
4549304.30,2.22
4612489.08,2.04
4675673.87,1.87
4738858.65,1.68
4802043.43,1.52
4865228.21,1.36
4928412.99,1.22
4991597.78,1.09
5054782.56,0.97
5117967.34,0.85
5181152.12,0.75
5244336.90,0.66
5307521.69,0.58
5370706.47,0.50
5433891.25,0.42
5497076.03,0.36
5560260.81,0.30
5623445.60,0.25
5686630.38,0.20
5749815.16,0.16
5812999.94,0.12
5876184.72,0.09
5939369.51,0.07
6002554.29,0.04
6065739.07,0.02
6128923.85,0.00
6192108.63,0.00
