Dose (Bq/ml),Volume (cm³)
0.00,8.52
30071.90,8.52
60143.80,8.52
90215.70,8.52
120287.61,8.52
150359.51,8.52
180431.41,8.52
210503.31,8.52
240575.21,8.52
270647.11,8.52
300719.02,8.52
330790.92,8.52
360862.82,8.52
390934.72,8.52
421006.62,8.52
451078.52,8.52
481150.43,8.52
511222.33,8.52
541294.23,8.52
571366.13,8.52
601438.03,8.52
631509.93,8.52
661581.83,8.52
691653.74,8.52
721725.64,8.52
751797.54,8.52
781869.44,8.52
811941.34,8.52
842013.24,8.52
872085.15,8.52
902157.05,8.52
932228.95,8.52
962300.85,8.52
992372.75,8.52
1022444.65,8.52
1052516.56,8.52
1082588.46,8.52
1112660.36,8.52
1142732.26,8.52
1172804.16,8.52
1202876.06,8.52
1232947.96,8.52
1263019.87,8.52
1293091.77,8.52
1323163.67,8.52
1353235.57,8.52
1383307.47,8.52
1413379.37,8.52
1443451.28,8.52
1473523.18,8.52
1503595.08,8.52
1533666.98,8.52
1563738.88,8.52
1593810.78,8.52
1623882.69,8.52
1653954.59,8.52
1684026.49,8.52
1714098.39,8.52
1744170.29,8.52
1774242.19,8.52
1804314.10,8.52
1834386.00,8.52
1864457.90,8.52
1894529.80,8.52
1924601.70,8.51
1954673.60,8.42
1984745.50,8.30
2014817.41,8.06
2044889.31,7.84
2074961.21,7.52
2105033.11,7.23
2135105.01,6.85
2165176.91,6.53
2195248.82,6.14
2225320.72,5.80
2255392.62,5.46
2285464.52,5.14
2315536.42,4.74
2345608.32,4.41
2375680.23,4.00
2405752.13,3.68
2435824.03,3.30
2465895.93,3.01
2495967.83,2.65
2526039.73,2.37
2556111.63,2.11
2586183.54,1.86
2616255.44,1.58
2646327.34,1.36
2676399.24,1.11
2706471.14,0.92
2736543.04,0.71
2766614.95,0.56
2796686.85,0.41
2826758.75,0.28
2856830.65,0.19
2886902.55,0.11
2916974.45,0.05
2947046.36,0.01
