Dose (Gy),Volume (cm3)
0.0000,6303.8295731
0.4429,813.9492900
0.8857,329.1220485
1.3286,175.0028018
1.7715,117.4086428
2.2143,87.5083466
2.6572,65.8329761
3.1001,49.3067216
3.5429,36.8309970
3.9858,28.5424020
4.4287,23.1733373
4.8715,19.0892363
5.3144,15.7217051
5.7573,13.0626405
6.2002,11.0148019
6.6430,9.1695476
7.0859,7.7641909
7.5288,6.6366641
7.9716,5.6468948
8.4145,4.7393168
8.8574,4.1431399
9.3002,3.6210510
9.7431,3.1302180
10.1860,2.6324393
10.6288,2.1624435
11.0717,1.8880864
11.5146,1.6299360
11.9574,1.3764161
12.4003,1.1309996
12.8432,0.8867408
13.2860,0.6725801
13.7289,0.5626058
14.1718,0.4688381
14.6146,0.3658095
15.0575,0.2685690
15.5004,0.1609099
15.9432,0.0474626
16.3861,0.0000000
16.8290,0.0000000
17.2718,0.0000000
17.7147,0.0000000
18.1576,0.0000000
18.6005,0.0000000
19.0433,0.0000000
19.4862,0.0000000
19.9291,0.0000000
20.3719,0.0000000
20.8148,0.0000000
21.2577,0.0000000
21.7005,0.0000000
22.1434,0.0000000
22.5863,0.0000000
23.0291,0.0000000
23.4720,0.0000000
23.9149,0.0000000
24.3577,0.0000000
24.8006,0.0000000
25.2435,0.0000000
25.6863,0.0000000
26.1292,0.0000000
26.5721,0.0000000
27.0149,0.0000000
27.4578,0.0000000
27.9007,0.0000000
28.3435,0.0000000
28.7864,0.0000000
29.2293,0.0000000
29.6721,0.0000000
30.1150,0.0000000
30.5579,0.0000000
31.0008,0.0000000
31.4436,0.0000000
31.8865,0.0000000
32.3294,0.0000000
32.7722,0.0000000
33.2151,0.0000000
33.6580,0.0000000
34.1008,0.0000000
34.5437,0.0000000
34.9866,0.0000000
35.4294,0.0000000
35.8723,0.0000000
36.3152,0.0000000
36.7580,0.0000000
37.2009,0.0000000
37.6438,0.0000000
38.0866,0.0000000
38.5295,0.0000000
38.9724,0.0000000
39.4152,0.0000000
39.8581,0.0000000
40.3010,0.0000000
40.7438,0.0000000
41.1867,0.0000000
41.6296,0.0000000
42.0724,0.0000000
42.5153,0.0000000
42.9582,0.0000000
43.4011,0.0000000
