Dose (Gy),Volume (cm3)
0.0000,33.3662254
0.4429,2.6845324
0.8857,0.0000000
1.3286,0.0000000
1.7715,0.0000000
2.2143,0.0000000
2.6572,0.0000000
3.1001,0.0000000
3.5429,0.0000000
3.9858,0.0000000
4.4287,0.0000000
4.8715,0.0000000
5.3144,0.0000000
5.7573,0.0000000
6.2002,0.0000000
6.6430,0.0000000
7.0859,0.0000000
7.5288,0.0000000
7.9716,0.0000000
8.4145,0.0000000
8.8574,0.0000000
9.3002,0.0000000
9.7431,0.0000000
10.1860,0.0000000
10.6288,0.0000000
11.0717,0.0000000
11.5146,0.0000000
11.9574,0.0000000
12.4003,0.0000000
12.8432,0.0000000
13.2860,0.0000000
13.7289,0.0000000
14.1718,0.0000000
14.6146,0.0000000
15.0575,0.0000000
15.5004,0.0000000
15.9432,0.0000000
16.3861,0.0000000
16.8290,0.0000000
17.2718,0.0000000
17.7147,0.0000000
18.1576,0.0000000
18.6005,0.0000000
19.0433,0.0000000
19.4862,0.0000000
19.9291,0.0000000
20.3719,0.0000000
20.8148,0.0000000
21.2577,0.0000000
21.7005,0.0000000
22.1434,0.0000000
22.5863,0.0000000
23.0291,0.0000000
23.4720,0.0000000
23.9149,0.0000000
24.3577,0.0000000
24.8006,0.0000000
25.2435,0.0000000
25.6863,0.0000000
26.1292,0.0000000
26.5721,0.0000000
27.0149,0.0000000
27.4578,0.0000000
27.9007,0.0000000
28.3435,0.0000000
28.7864,0.0000000
29.2293,0.0000000
29.6721,0.0000000
30.1150,0.0000000
30.5579,0.0000000
31.0008,0.0000000
31.4436,0.0000000
31.8865,0.0000000
32.3294,0.0000000
32.7722,0.0000000
33.2151,0.0000000
33.6580,0.0000000
34.1008,0.0000000
34.5437,0.0000000
34.9866,0.0000000
35.4294,0.0000000
35.8723,0.0000000
36.3152,0.0000000
36.7580,0.0000000
37.2009,0.0000000
37.6438,0.0000000
38.0866,0.0000000
38.5295,0.0000000
38.9724,0.0000000
39.4152,0.0000000
39.8581,0.0000000
40.3010,0.0000000
40.7438,0.0000000
41.1867,0.0000000
41.6296,0.0000000
42.0724,0.0000000
42.5153,0.0000000
42.9582,0.0000000
43.4011,0.0000000
