Dose (BQ/ML),Volume (cm3)
0.0000,6303.83
4428678.8099,813.95
8857357.6198,329.12
13286036.4296,175.00
17714715.2395,117.41
22143394.0494,87.51
26572072.8593,65.83
31000751.6691,49.31
35429430.4790,36.83
39858109.2889,28.54
44286788.0988,23.17
48715466.9086,19.09
53144145.7185,15.72
57572824.5284,13.06
62001503.3383,11.01
66430182.1481,9.17
70858860.9580,7.76
75287539.7679,6.64
79716218.5778,5.65
84144897.3876,4.74
88573576.1975,4.14
93002255.0074,3.62
97430933.8173,3.13
101859612.6271,2.63
106288291.4370,2.16
110716970.2469,1.89
115145649.0568,1.63
119574327.8667,1.38
124003006.6765,1.13
128431685.4864,0.89
132860364.2963,0.67
137289043.1062,0.56
141717721.9160,0.47
146146400.7259,0.37
150575079.5358,0.27
155003758.3457,0.16
159432437.1555,0.05
163861115.9654,0.00
168289794.7753,0.00
172718473.5852,0.00
177147152.3950,0.00
181575831.2049,0.00
186004510.0148,0.00
190433188.8247,0.00
194861867.6345,0.00
199290546.4444,0.00
203719225.2543,0.00
208147904.0642,0.00
212576582.8740,0.00
217005261.6839,0.00
221433940.4938,0.00
225862619.3037,0.00
230291298.1136,0.00
234719976.9234,0.00
239148655.7333,0.00
243577334.5432,0.00
248006013.3531,0.00
252434692.1629,0.00
256863370.9728,0.00
261292049.7827,0.00
265720728.5926,0.00
270149407.4024,0.00
274578086.2123,0.00
279006765.0222,0.00
283435443.8321,0.00
287864122.6419,0.00
292292801.4518,0.00
296721480.2617,0.00
301150159.0716,0.00
305578837.8814,0.00
310007516.6913,0.00
314436195.5012,0.00
318864874.3111,0.00
323293553.1209,0.00
327722231.9308,0.00
332150910.7407,0.00
336579589.5506,0.00
341008268.3605,0.00
345436947.1703,0.00
349865625.9802,0.00
354294304.7901,0.00
358722983.6000,0.00
363151662.4098,0.00
367580341.2197,0.00
372009020.0296,0.00
376437698.8395,0.00
380866377.6493,0.00
385295056.4592,0.00
389723735.2691,0.00
394152414.0790,0.00
398581092.8888,0.00
403009771.6987,0.00
407438450.5086,0.00
411867129.3185,0.00
416295808.1283,0.00
420724486.9382,0.00
425153165.7481,0.00
429581844.5580,0.00
434010523.3678,0.00
