Dose (BQ/ML),Volume (cm3)
0.0000,3866.25
4428678.8099,130.41
8857357.6198,82.74
13286036.4296,56.91
17714715.2395,33.12
22143394.0494,13.73
26572072.8593,1.01
31000751.6691,0.00
35429430.4790,0.00
39858109.2889,0.00
44286788.0988,0.00
48715466.9086,0.00
53144145.7185,0.00
57572824.5284,0.00
62001503.3383,0.00
66430182.1481,0.00
70858860.9580,0.00
75287539.7679,0.00
79716218.5778,0.00
84144897.3876,0.00
88573576.1975,0.00
93002255.0074,0.00
97430933.8173,0.00
101859612.6271,0.00
106288291.4370,0.00
110716970.2469,0.00
115145649.0568,0.00
119574327.8667,0.00
124003006.6765,0.00
128431685.4864,0.00
132860364.2963,0.00
137289043.1062,0.00
141717721.9160,0.00
146146400.7259,0.00
150575079.5358,0.00
155003758.3457,0.00
159432437.1555,0.00
163861115.9654,0.00
168289794.7753,0.00
172718473.5852,0.00
177147152.3950,0.00
181575831.2049,0.00
186004510.0148,0.00
190433188.8247,0.00
194861867.6345,0.00
199290546.4444,0.00
203719225.2543,0.00
208147904.0642,0.00
212576582.8740,0.00
217005261.6839,0.00
221433940.4938,0.00
225862619.3037,0.00
230291298.1136,0.00
234719976.9234,0.00
239148655.7333,0.00
243577334.5432,0.00
248006013.3531,0.00
252434692.1629,0.00
256863370.9728,0.00
261292049.7827,0.00
265720728.5926,0.00
270149407.4024,0.00
274578086.2123,0.00
279006765.0222,0.00
283435443.8321,0.00
287864122.6419,0.00
292292801.4518,0.00
296721480.2617,0.00
301150159.0716,0.00
305578837.8814,0.00
310007516.6913,0.00
314436195.5012,0.00
318864874.3111,0.00
323293553.1209,0.00
327722231.9308,0.00
332150910.7407,0.00
336579589.5506,0.00
341008268.3605,0.00
345436947.1703,0.00
349865625.9802,0.00
354294304.7901,0.00
358722983.6000,0.00
363151662.4098,0.00
367580341.2197,0.00
372009020.0296,0.00
376437698.8395,0.00
380866377.6493,0.00
385295056.4592,0.00
389723735.2691,0.00
394152414.0790,0.00
398581092.8888,0.00
403009771.6987,0.00
407438450.5086,0.00
411867129.3185,0.00
416295808.1283,0.00
420724486.9382,0.00
425153165.7481,0.00
429581844.5580,0.00
434010523.3678,0.00
