"# Cumulative DVH Data - Dose in Gy, Volume in cm3"
# Values represent volume of structure receiving >= dose
# Generated from DICOM RT data

GY,BODY_1_Volume_cm3,CouchSurface_11_Volume_cm3,override_1_Volume_cm3,PTV_5mm_4cm_sphere_Volume_cm3,.GTV_point_source_Volume_cm3,OAR_2_1_Volume_cm3
0.000000,33014.9344,2038.6544,12391.2136,44.9097,5.3212,176.4517
0.000669,33014.9344,2038.6544,12391.2136,44.9097,5.3212,176.4517
0.001338,33014.9344,2038.6544,12391.2136,44.9097,5.3212,176.4517
0.002007,33014.9344,2038.6544,12391.2136,44.9097,5.3212,176.4517
0.002676,33014.9344,2038.6544,12391.2136,44.9097,5.3212,176.4517
0.003345,33014.9344,2038.6544,12391.2136,44.9097,5.3212,176.4517
0.004014,33014.9344,2038.6544,12391.2136,44.9097,5.3212,176.4517
0.004683,33014.9344,2038.6544,12391.2136,44.9097,5.3212,176.4517
0.005352,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.006021,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.006690,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.007359,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.008028,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.008697,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.009366,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.010035,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.010704,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.011373,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.012042,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.012711,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.013380,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.014049,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.014718,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.015387,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.016056,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.016725,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.017394,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.018063,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.018732,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.019401,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.020070,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.020739,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.021408,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.022078,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.022747,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.023416,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.024085,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.024754,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.025423,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.026092,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.026761,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.027430,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.028099,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.028768,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.029437,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.030106,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.030775,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.031444,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.032113,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.032782,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.033451,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.034120,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.034789,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.035458,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.036127,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.036796,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.037465,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.038134,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.038803,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.039472,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.040141,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.040810,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.041479,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.042148,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.042817,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.043486,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.044155,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.044824,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.045493,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.046162,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.046831,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.047500,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.048169,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.048838,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.049507,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.050176,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.050845,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.051514,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.052183,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.052852,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.053521,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.054190,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.054859,13112.8328,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.055528,13110.2677,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.056197,13110.2677,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.056866,13110.2677,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.057535,13110.2677,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.058204,13110.2677,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.058873,13110.2677,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.059542,13110.2677,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.060211,13110.2677,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.060880,13110.2677,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.061549,13110.2677,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.062218,13110.2677,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.062887,13110.2677,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.063556,13110.2677,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.064225,13110.2677,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.064894,13110.2677,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.065564,13080.0387,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.066233,13080.0387,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.066902,13080.0387,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.067571,13080.0387,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.068240,13080.0387,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.068909,13080.0387,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.069578,13080.0387,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.070247,13080.0387,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.070916,13080.0387,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.071585,13080.0387,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.072254,13080.0387,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.072923,13080.0387,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.073592,13080.0387,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.074261,13080.0387,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.074930,13080.0387,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.075599,13009.2771,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.076268,13009.2771,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.076937,13009.2771,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.077606,13009.2771,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.078275,13009.2771,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.078944,13009.2771,2038.6544,7839.9073,44.9097,5.3212,175.6189
