# Cumulative PET Volume Histogram (PVH)
# PET bin unit: Bq/mL | Volume unit: mL

PET_Bq_per_mL,BODY_1_Volume_mL,CouchSurface_11_Volume_mL,override_1_Volume_mL,PTV_5mm_4cm_sphere_Volume_mL,.GTV_point_source_Volume_mL,OAR_2_1_Volume_mL
-17610.726562,38016.175944,12845.518352,19101.079654,51.575985,6.070237,202.035146
-13273.788086,38016.105849,12845.518352,19101.009559,51.554956,6.070237,202.035146
-8936.848633,38015.937621,12845.518352,19100.841331,51.540937,6.070237,202.035146
-4599.909180,38012.874464,12845.518352,19097.792194,51.491870,6.070237,202.035146
-262.969727,37974.658608,12845.392181,19059.751575,51.204480,6.070237,202.035146
4073.969727,100.334146,3.042128,98.700929,18.189682,2.754738,0.042057
8410.909180,16.892922,0.000000,16.892922,13.304053,1.570131,0.000000
12747.848633,11.264285,0.000000,11.264285,10.976895,0.918246,0.000000
17084.787109,9.308631,0.000000,9.308631,9.266574,0.413561,0.000000
21421.726562,7.983833,0.000000,7.983833,7.983833,0.007010,0.000000
25758.667969,7.128673,0.000000,7.128673,7.128673,0.000000,0.000000
30095.607422,6.652026,0.000000,6.652026,6.652026,0.000000,0.000000
34432.546875,6.294541,0.000000,6.294541,6.294541,0.000000,0.000000
38769.484375,5.965094,0.000000,5.965094,5.965094,0.000000,0.000000
43106.425781,5.733780,0.000000,5.733780,5.733780,0.000000,0.000000
47443.367188,5.558543,0.000000,5.558543,5.558543,0.000000,0.000000
51780.304688,5.362276,0.000000,5.362276,5.362276,0.000000,0.000000
56117.242188,5.151991,0.000000,5.151991,5.151991,0.000000,0.000000
60454.183594,4.934696,0.000000,4.934696,4.934696,0.000000,0.000000
64791.125000,4.752449,0.000000,4.752449,4.752449,0.000000,0.000000
69128.062500,4.598239,0.000000,4.598239,4.598239,0.000000,0.000000
73465.000000,4.408983,0.000000,4.408983,4.408983,0.000000,0.000000
77801.945312,4.289821,0.000000,4.289821,4.289821,0.000000,0.000000
82138.882812,4.149631,0.000000,4.149631,4.149631,0.000000,0.000000
86475.820312,3.981402,0.000000,3.981402,3.981402,0.000000,0.000000
90812.757812,3.883269,0.000000,3.883269,3.883269,0.000000,0.000000
95149.703125,3.729060,0.000000,3.729060,3.729060,0.000000,0.000000
99486.640625,3.602889,0.000000,3.602889,3.602889,0.000000,0.000000
103823.578125,3.504756,0.000000,3.504756,3.504756,0.000000,0.000000
108160.515625,3.343537,0.000000,3.343537,3.343537,0.000000,0.000000
112497.460938,3.189328,0.000000,3.189328,3.189328,0.000000,0.000000
116834.398438,3.070166,0.000000,3.070166,3.070166,0.000000,0.000000
121171.335938,2.965023,0.000000,2.965023,2.965023,0.000000,0.000000
125508.273438,2.859881,0.000000,2.859881,2.859881,0.000000,0.000000
129845.203125,2.726700,0.000000,2.726700,2.726700,0.000000,0.000000
134182.140625,2.614548,0.000000,2.614548,2.614548,0.000000,0.000000
138519.093750,2.502396,0.000000,2.502396,2.502396,0.000000,0.000000
142856.031250,2.404262,0.000000,2.404262,2.404262,0.000000,0.000000
147192.968750,2.250053,0.000000,2.250053,2.250053,0.000000,0.000000
151529.906250,2.172949,0.000000,2.172949,2.172949,0.000000,0.000000
155866.843750,2.074815,0.000000,2.074815,2.074815,0.000000,0.000000
160203.781250,1.969673,0.000000,1.969673,1.969673,0.000000,0.000000
164540.718750,1.850511,0.000000,1.850511,1.850511,0.000000,0.000000
168877.656250,1.752378,0.000000,1.752378,1.752378,0.000000,0.000000
173214.609375,1.619197,0.000000,1.619197,1.619197,0.000000,0.000000
177551.546875,1.514054,0.000000,1.514054,1.514054,0.000000,0.000000
181888.484375,1.422931,0.000000,1.422931,1.422931,0.000000,0.000000
186225.421875,1.366855,0.000000,1.366855,1.366855,0.000000,0.000000
190562.359375,1.317788,0.000000,1.317788,1.317788,0.000000,0.000000
194899.296875,1.233674,0.000000,1.233674,1.233674,0.000000,0.000000
