"# Cumulative PET Volume Histogram (PVH) - PET in Bq/mL, Volume in mL"
# Values represent volume of structure with >= PET activity
# Generated from PET and RT Structure data

PET_Bq_per_mL,BODY_1_Volume_mL,CouchSurface_11_Volume_mL,override_1_Volume_mL,PTV_5mm_4cm_sphere_Volume_mL,.GTV_point_source_Volume_mL,OAR_2_1_Volume_mL
0.000000,9483.1118,3154.2030,7396.5415,48.5829,6.0702,130.0054
41.322899,8540.5218,2360.6212,6717.8246,48.5339,6.0702,108.6124
82.645798,7556.5687,1851.8779,5989.5083,48.4708,6.0702,87.1843
123.968697,6564.8840,1389.3623,5254.2947,48.4147,6.0702,65.8754
165.291595,5615.5859,998.8764,4550.5608,48.3796,6.0702,48.9334
206.614494,4740.6166,714.8370,3897.3444,48.3096,6.0702,35.3209
247.937393,3977.7225,516.0262,3317.5316,48.2395,6.0702,24.9959
289.260292,3327.5552,383.5955,2811.9426,48.1273,6.0702,17.3976
330.583191,2777.8623,296.6145,2374.6402,47.8609,6.0702,12.1475
371.906090,2327.7396,238.3304,2008.0498,47.5175,6.0702,8.9161
413.228989,1960.9318,196.7640,1703.8790,47.0268,6.0702,7.3109
454.551888,1664.0370,165.4245,1453.1628,46.4380,6.0702,6.2455
495.874786,1428.6646,141.7604,1252.6347,45.8282,6.0702,5.4043
537.197685,1237.1717,122.5122,1087.6378,45.1833,6.0702,4.6824
578.520584,1082.8644,106.3203,954.2749,44.4753,6.0702,4.0725
619.843483,954.4291,92.9952,842.6694,43.5922,6.0702,3.4557
661.166382,848.3541,81.3454,750.2911,42.4286,6.0702,3.0421
702.489281,759.9362,71.4199,673.9365,41.2019,6.0702,2.7267
743.812180,685.4181,63.6884,608.8602,40.1855,6.0702,2.4323
785.135078,622.3465,56.8261,554.0037,38.9098,6.0702,2.1800
826.457977,568.0578,50.9942,506.7176,37.6271,6.0702,2.1169
867.780876,520.7296,45.8352,465.6488,36.5336,6.0702,2.0187
909.103775,479.2333,40.9145,429.7111,35.6153,6.0702,1.9416
950.426674,442.8259,36.7859,398.5608,34.7041,6.0702,1.8505
991.749573,409.9723,33.0148,370.4036,33.7157,6.0702,1.7524
1033.072472,380.9599,29.5241,345.5689,32.6924,6.0702,1.6402
1074.395370,355.2701,26.3558,323.5310,31.8442,6.0702,1.5281
1115.718269,331.5078,23.6711,303.1964,31.0662,6.0702,1.4720
1157.041168,310.9840,21.1827,285.8759,30.4844,6.0702,1.3318
1198.364067,292.5279,19.4514,270.4129,29.9797,6.0702,1.2126
1239.686966,275.2845,17.6570,255.9102,29.5171,6.0702,1.1145
1281.009865,259.6183,16.2200,242.5221,29.1455,6.0702,1.0164
1322.332764,245.4661,14.9232,230.4307,28.7039,6.0702,0.9182
1363.655663,232.3863,13.5704,219.0683,28.3395,6.0702,0.7991
1404.978561,220.5683,12.2877,208.7152,27.9890,6.0702,0.7150
1446.301460,209.7666,11.2222,199.0281,27.6876,6.0702,0.6098
1487.624359,199.5958,10.4372,189.8596,27.2670,6.0702,0.5117
1528.947258,190.3363,9.5470,181.6164,26.9866,6.0702,0.4136
1570.270157,181.6725,8.6567,173.8569,26.7273,6.0702,0.3645
1611.593056,173.3943,7.8016,166.4619,26.4259,6.0702,0.3154
1652.915955,166.0413,7.0375,159.9711,26.0824,6.0702,0.2944
1694.238853,159.1089,6.4067,153.7186,25.8441,6.0702,0.2383
1735.561752,152.2536,5.8810,147.5152,25.5777,6.0702,0.2033
1776.884651,145.6717,5.4043,141.5501,25.2763,6.0702,0.1402
1818.207550,139.5033,4.9978,135.8093,25.0099,6.0702,0.1122
1859.530449,133.8957,4.6543,130.6222,24.7366,6.0702,0.0771
1900.853348,128.6596,4.3038,125.7366,24.5123,6.0702,0.0421
1942.176247,123.4725,4.0795,120.8650,24.2599,6.0702,0.0280
1983.499146,118.7341,3.8202,116.4350,24.0777,6.0702,0.0140
2024.822044,114.0798,3.6730,112.0821,23.8113,6.0702,0.0070
2066.144943,109.7760,3.4136,108.0096,23.6291,6.0702,0.0000
2107.467842,105.5352,3.2384,103.9861,23.4398,6.0702,0.0000
2148.790741,101.5538,3.0702,100.1869,23.2295,6.0702,0.0000
2190.113640,97.9018,2.9160,96.7873,23.0613,6.0702,0.0000
2231.436539,94.7265,2.7828,93.7662,22.9001,6.0702,0.0000
2272.759438,91.7545,2.6286,90.9204,22.7459,6.0702,0.0000
2314.082336,88.9157,2.4884,88.1797,22.5917,6.0702,0.0000
2355.405235,86.0488,2.2991,85.5020,22.4865,6.0702,0.0000
2396.728134,83.2660,2.1589,82.8454,22.3603,6.0702,0.0000
2438.051033,80.6234,2.0538,80.3500,22.2131,6.0702,0.0000
2479.373932,78.1771,1.8996,78.0018,22.1080,6.0702,0.0000
2520.696831,75.7308,1.7734,75.5976,22.0309,6.0702,0.0000
2562.019730,73.4527,1.7033,73.3335,21.9258,6.0702,0.0000
2603.342628,71.3849,1.6332,71.2867,21.8276,6.0702,0.0000
2644.665527,69.3521,1.4790,69.2610,21.7295,6.0702,0.0000
2685.988426,67.2773,1.2968,67.1932,21.5472,6.0702,0.0000
2727.311325,65.3567,1.2056,65.2796,21.4561,6.0702,0.0000
2768.634224,63.7445,1.0584,63.6744,21.3650,6.0702,0.0000
2809.957123,61.9010,0.9323,61.8379,21.2178,6.0702,0.0000
2851.280022,60.1066,0.8482,60.0435,21.0846,6.0702,0.0000
2892.602921,58.7117,0.7710,58.6556,20.9795,6.0702,0.0000
2933.925819,57.0995,0.7360,57.0434,20.8463,6.0702,0.0000
2975.248718,55.4522,0.6869,55.3962,20.7341,6.0702,0.0000
3016.571617,54.0924,0.6589,54.0363,20.5939,6.0702,0.0000
3057.894516,52.9639,0.6168,52.9078,20.5168,6.0702,0.0000
3099.217415,51.7302,0.5748,51.6741,20.3977,6.0702,0.0000
3140.540314,50.3213,0.5397,50.2722,20.2505,6.0702,0.0000
3181.863213,49.2278,0.4696,49.1787,20.1523,6.0702,0.0000
3223.186111,48.3726,0.4486,48.3376,20.0542,6.0702,0.0000
3264.509010,47.3282,0.3925,47.3002,19.9841,6.0702,0.0000
3305.831909,46.3469,0.3575,46.3189,19.9000,6.0702,0.0000
3347.154808,45.3796,0.3084,45.3515,19.8229,6.0702,0.0000
3388.477707,44.5384,0.2313,44.5104,19.7458,6.0702,0.0000
3429.800606,43.4239,0.1542,43.3959,19.6967,6.0702,0.0000
3471.123505,42.4846,0.1051,42.4566,19.6336,6.0702,0.0000
3512.446404,41.7837,0.0771,41.7627,19.5776,6.0702,0.0000
3553.769302,40.9215,0.0491,40.9005,19.4864,6.0702,0.0000
3595.092201,40.1575,0.0491,40.1365,19.4023,6.0702,0.0000
3636.415100,39.4425,0.0070,39.4215,19.3392,6.0702,0.0000
3677.737999,38.8677,0.0000,38.8467,19.2902,6.0702,0.0000
3719.060898,38.1247,0.0000,38.1037,19.2061,6.0702,0.0000
3760.383797,37.4799,0.0000,37.4588,19.1430,6.0702,0.0000
3801.706696,36.8420,0.0000,36.8210,19.1149,6.0702,0.0000
3843.029594,36.2322,0.0000,36.2111,19.0378,6.0702,0.0000
3884.352493,35.8256,0.0000,35.8046,19.0168,6.0702,0.0000
3925.675392,35.3980,0.0000,35.3770,18.9467,6.0702,0.0000
3966.998291,34.7812,0.0000,34.7602,18.8626,6.0702,0.0000
4008.321190,34.2204,0.0000,34.2064,18.7855,6.0702,0.0000
4049.644089,33.7017,0.0000,33.6877,18.7434,6.0702,0.0000
