"# Cumulative PET Volume Histogram (PVH) - PET in Bq/mL, Relative Cumulative Volume (fraction 0-1)"
# Values represent fraction of structure volume with >= PET activity
# Generated from PET and RT Structure data

PET_Bq_per_mL,BODY_1_RelativeCumVolume,CouchSurface_11_RelativeCumVolume,override_1_RelativeCumVolume,PTV_5mm_4cm_sphere_RelativeCumVolume,.GTV_point_source_RelativeCumVolume,OAR_2_1_RelativeCumVolume
0.000000,0.249449,0.245549,0.387232,0.941968,1.000000,0.643479
41.322899,0.224655,0.183770,0.351699,0.941017,1.000000,0.537592
82.645798,0.198772,0.144165,0.313569,0.939793,1.000000,0.431530
123.968697,0.172687,0.108159,0.275078,0.938706,1.000000,0.326059
165.291595,0.147716,0.077761,0.238236,0.938027,1.000000,0.242202
206.614494,0.124700,0.055649,0.204038,0.936668,1.000000,0.174826
247.937393,0.104632,0.040172,0.173683,0.935309,1.000000,0.123721
289.260292,0.087530,0.029862,0.147214,0.933134,1.000000,0.086112
330.583191,0.073071,0.023091,0.124320,0.927970,1.000000,0.060126
371.906090,0.061230,0.018554,0.105128,0.921310,1.000000,0.044131
413.228989,0.051582,0.015318,0.089203,0.911797,1.000000,0.036186
454.551888,0.043772,0.012878,0.076078,0.900381,1.000000,0.030913
495.874786,0.037580,0.011036,0.065579,0.888557,1.000000,0.026749
537.197685,0.032543,0.009537,0.056941,0.876053,1.000000,0.023176
578.520584,0.028484,0.008277,0.049959,0.862327,1.000000,0.020158
619.843483,0.025106,0.007240,0.044116,0.845203,1.000000,0.017104
661.166382,0.022316,0.006333,0.039280,0.822642,1.000000,0.015057
702.489281,0.019990,0.005560,0.035283,0.798858,1.000000,0.013496
743.812180,0.018030,0.004958,0.031876,0.779152,1.000000,0.012039
785.135078,0.016371,0.004424,0.029004,0.754417,1.000000,0.010790
826.457977,0.014943,0.003970,0.026528,0.729546,1.000000,0.010478
867.780876,0.013698,0.003568,0.024378,0.708345,1.000000,0.009992
909.103775,0.012606,0.003185,0.022497,0.690541,1.000000,0.009610
950.426674,0.011648,0.002864,0.020866,0.672873,1.000000,0.009159
991.749573,0.010784,0.002570,0.019392,0.653710,1.000000,0.008674
1033.072472,0.010021,0.002298,0.018092,0.633868,1.000000,0.008119
1074.395370,0.009345,0.002052,0.016938,0.617423,1.000000,0.007563
1115.718269,0.008720,0.001843,0.015873,0.602338,1.000000,0.007286
1157.041168,0.008180,0.001649,0.014966,0.591057,1.000000,0.006592
1198.364067,0.007695,0.001514,0.014157,0.581272,1.000000,0.006002
1239.686966,0.007241,0.001375,0.013398,0.572302,1.000000,0.005516
1281.009865,0.006829,0.001263,0.012697,0.565099,1.000000,0.005031
1322.332764,0.006457,0.001162,0.012064,0.556537,1.000000,0.004545
1363.655663,0.006113,0.001056,0.011469,0.549470,1.000000,0.003955
1404.978561,0.005802,0.000957,0.010927,0.542675,1.000000,0.003539
1446.301460,0.005518,0.000874,0.010420,0.536831,1.000000,0.003018
1487.624359,0.005250,0.000813,0.009940,0.528676,1.000000,0.002533
1528.947258,0.005007,0.000743,0.009508,0.523240,1.000000,0.002047
1570.270157,0.004779,0.000674,0.009102,0.518211,1.000000,0.001804
1611.593056,0.004561,0.000607,0.008715,0.512367,1.000000,0.001561
1652.915955,0.004368,0.000548,0.008375,0.505708,1.000000,0.001457
1694.238853,0.004185,0.000499,0.008048,0.501087,1.000000,0.001180
1735.561752,0.004005,0.000458,0.007723,0.495923,1.000000,0.001006
1776.884651,0.003832,0.000421,0.007411,0.490079,1.000000,0.000694
1818.207550,0.003670,0.000389,0.007110,0.484914,1.000000,0.000555
1859.530449,0.003522,0.000362,0.006838,0.479614,1.000000,0.000382
1900.853348,0.003384,0.000335,0.006583,0.475265,1.000000,0.000208
1942.176247,0.003248,0.000318,0.006328,0.470372,1.000000,0.000139
1983.499146,0.003123,0.000297,0.006096,0.466839,1.000000,0.000069
2024.822044,0.003001,0.000286,0.005868,0.461674,1.000000,0.000035
2066.144943,0.002888,0.000266,0.005655,0.458141,1.000000,0.000000
2107.467842,0.002776,0.000252,0.005444,0.454471,1.000000,0.000000
2148.790741,0.002671,0.000239,0.005245,0.450394,1.000000,0.000000
2190.113640,0.002575,0.000227,0.005067,0.447132,1.000000,0.000000
2231.436539,0.002492,0.000217,0.004909,0.444007,1.000000,0.000000
2272.759438,0.002414,0.000205,0.004760,0.441017,1.000000,0.000000
2314.082336,0.002339,0.000194,0.004616,0.438027,1.000000,0.000000
2355.405235,0.002263,0.000179,0.004476,0.435988,1.000000,0.000000
2396.728134,0.002190,0.000168,0.004337,0.433542,1.000000,0.000000
2438.051033,0.002121,0.000160,0.004207,0.430688,1.000000,0.000000
2479.373932,0.002056,0.000148,0.004084,0.428649,1.000000,0.000000
2520.696831,0.001992,0.000138,0.003958,0.427154,1.000000,0.000000
2562.019730,0.001932,0.000133,0.003839,0.425116,1.000000,0.000000
2603.342628,0.001878,0.000127,0.003732,0.423213,1.000000,0.000000
2644.665527,0.001824,0.000115,0.003626,0.421310,1.000000,0.000000
2685.988426,0.001770,0.000101,0.003518,0.417777,1.000000,0.000000
2727.311325,0.001719,0.000094,0.003418,0.416010,1.000000,0.000000
2768.634224,0.001677,0.000082,0.003334,0.414243,1.000000,0.000000
2809.957123,0.001628,0.000073,0.003237,0.411389,1.000000,0.000000
2851.280022,0.001581,0.000066,0.003143,0.408807,1.000000,0.000000
2892.602921,0.001544,0.000060,0.003071,0.406768,1.000000,0.000000
2933.925819,0.001502,0.000057,0.002986,0.404186,1.000000,0.000000
2975.248718,0.001459,0.000053,0.002900,0.402011,1.000000,0.000000
3016.571617,0.001423,0.000051,0.002829,0.399293,1.000000,0.000000
3057.894516,0.001393,0.000048,0.002770,0.397798,1.000000,0.000000
3099.217415,0.001361,0.000045,0.002705,0.395488,1.000000,0.000000
3140.540314,0.001324,0.000042,0.002632,0.392634,1.000000,0.000000
3181.863213,0.001295,0.000037,0.002575,0.390731,1.000000,0.000000
3223.186111,0.001272,0.000035,0.002531,0.388828,1.000000,0.000000
3264.509010,0.001245,0.000031,0.002476,0.387469,1.000000,0.000000
3305.831909,0.001219,0.000028,0.002425,0.385839,1.000000,0.000000
3347.154808,0.001194,0.000024,0.002374,0.384344,1.000000,0.000000
3388.477707,0.001172,0.000018,0.002330,0.382849,1.000000,0.000000
3429.800606,0.001142,0.000012,0.002272,0.381897,1.000000,0.000000
3471.123505,0.001118,0.000008,0.002223,0.380674,1.000000,0.000000
3512.446404,0.001099,0.000006,0.002186,0.379587,1.000000,0.000000
3553.769302,0.001076,0.000004,0.002141,0.377820,1.000000,0.000000
3595.092201,0.001056,0.000004,0.002101,0.376189,1.000000,0.000000
3636.415100,0.001038,0.000001,0.002064,0.374966,1.000000,0.000000
3677.737999,0.001022,0.000000,0.002034,0.374015,1.000000,0.000000
3719.060898,0.001003,0.000000,0.001995,0.372384,1.000000,0.000000
3760.383797,0.000986,0.000000,0.001961,0.371161,1.000000,0.000000
